,year,country,age,species_,month,dead,gender,specie,edad
834,1997,south africa,39,White shark,Dec,Y,M,white,39.0
835,1997,australia,42,White shark,Nov,N,M,white,42.0
836,1997,usa,19,"Tiger shark, 4 m to 4.3 m [13' to 14'] ",Oct,N,M,tiger,19.0
837,1997,usa,23,Possibly a blacktip shark,Oct,N,M,unspecified,23.0
838,1997,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M,unspecified,12.0
839,1997,usa,29,5 m [16.5'] white shark,Aug,N,M,white,29.0
840,1997,usa,17,juvenile shark,Aug,N,M,unspecified,17.0
841,1997,usa,19,"""juvenile shark""",Aug,N,M,unspecified,19.0
842,1997,south africa,25,4.5 m white shark,Jul,Y,M,white,25.0
843,1997,usa,50,Blacktip shark,Jul,N,M,unspecified,50.0
844,1997,fiji,47,"Tiger shark, 2.7m  [9']",Jun,N,F,tiger,47.0
845,1997,usa,18,Possibly a spinner shark,Jun,N,M,unspecified,18.0
846,1997,usa,33,1.2 m [4'] shark (spinner shark?),Jun,N,M,unspecified,33.0
847,1997,usa,35,4' shark,May,N,M,unspecified,35.0
848,1997,usa,34,Possibly a sand shark,May,N,M,unspecified,34.0
849,1997,usa,12,Possibly a sand shark,May,N,M,unspecified,12.0
850,1997,australia, 30,"Tiger shark, 2m to 3m ",Feb,N,M,tiger,30.0
851,1997,australia,27,1.8 m to 2.1 m [6' to 7'] shark,Jan,N,M,unspecified,27.0
852,1997,australia,41,"Tiger shark, 4.5 m [14'9""]",Jan,Y,M,tiger,41.0
853,1996,usa,45,3 m to 5 m [10' to 16.5'] white shark,Nov,N,M,white,45.0
854,1996,usa,22,5.5 m to 6 m [18' to 20'] white shark,Oct,N,M,white,22.0
855,1996,usa,21,1.2 m [4'] shark,Oct,N,M,unspecified,21.0
856,1996,usa,31,5 m [16.5'] white shark,Oct,N,M,white,31.0
857,1996,new zealand,23,White shark,Sep,N,M,white,23.0
858,1996,usa,19,"""a young shark""",Sep,N,M,unspecified,19.0
859,1996,usa,28,Shark involvement not confirmed,Sep,,F,unspecified,28.0
860,1996,south africa,29,White shark,Sep,N,M,white,29.0
861,1996,usa,19,"Tiger shark, 2.4 m [8'] ",Aug,N,M,tiger,19.0
862,1996,usa,36,6 m [20'] white shark,Aug,N,M,white,36.0
863,1996,usa,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,Aug,N,M,unspecified,21.0
864,1996,usa,63,5' to 6' shark,Jul,N,F,unspecified,63.0
865,1996,south africa,17,2.5 m [8.25'] white shark ,May,N,M,white,17.0
866,1996,usa,22,1.2 m [4'] shark,May,N,M,unspecified,22.0
867,1996,usa,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,May,N,M,unspecified,27.0
868,1996,australia,47,Tiger shark,Mar,N,F,tiger,47.0
869,1996,australia,24,Bronze whaler shark,Feb,N,M,unspecified,24.0
870,1996,australia,7,"""reef shark""",Feb,N,M,unspecified,7.0
871,1996,usa,53,Possibly a tiger shark,Jan,N,M,tiger,53.0
872,1996,reunion,25,"Tiger shark, 300-kg [662-lb] ",Jan,Y,M,tiger,25.0
873,1995,australia,15,4 m shark,Oct,N,F,unspecified,15.0
874,1995,usa,39,1.2 m to 1.5 m [4' to 5']   shark,Oct,N,M,unspecified,39.0
875,1995,usa,14,1.5 to 1.8 m [5' to 6'] shark,Sep,N,M,unspecified,14.0
876,1995,usa,25,4 m [13'] white shark,Sep,N,M,white,25.0
877,1995,australia,29,White shark,Sep,Y,M,white,29.0
878,1995,usa,32,3 m to 4 m [10' to 13'] white shark,Sep,N,M,white,32.0
879,1995,usa,16,5' shark,Aug,N,M,unspecified,16.0
880,1995,usa,18,"""a small shark""",Aug,N,M,unspecified,18.0
881,1995,usa,16,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M,unspecified,16.0
882,1995,usa,23,"""sand"" shark",Aug,N,M,unspecified,23.0
883,1995,usa,19,"""small shark""",Aug,N,M,unspecified,19.0
884,1995,tonga,18,"""small shark""",Aug,N,M,unspecified,18.0
885,1995,usa,20,1.8 m [6'] shark,Aug,N,M,unspecified,20.0
886,1995,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M,unspecified,12.0
887,1995,usa,31,6 m [20'] white shark,Jun,N,M,white,31.0
888,1995,usa,45,1.8 m [6'] shark,Jun,N,M,unspecified,45.0
889,1995,usa,10,6' shark,Jun,N,F,unspecified,10.0
890,1995,usa,38,"Tiger shark, 3.7 m [12'] ",Jun,N,M,tiger,38.0
891,1995,hong kong,29,1.8 m to 2.1 m [6' to 7'] shark,Jun,Y,M,unspecified,29.0
892,1995,japan,47,6 m [20'] white shark,Apr,Y,M,white,47.0
893,1995,australia,35,"Bronze whaler shark, 2 m ",Mar,N,M,unspecified,35.0
894,1995,south africa,22,Raggedtooth shark,Feb,N,M,unspecified,22.0
895,1995,south africa,14,"Tiger shark, 1.8 m [6'] ",Jan,Y,M,tiger,14.0
896,1994,south africa,26,5.5 m [18'] white shark,Dec,N,M,white,26.0
897,1994,usa,42,5 m to 5.5 m [16.5' to 18'] white shark,Dec,Y,M,white,42.0
898,1994,usa,34,2.7 m [9'] shark,Nov,N,F,unspecified,34.0
899,1994,usa,9,Thought to involve a small sand shark,Oct,N,F,unspecified,9.0
900,1994,usa,43,5 m [16.5'] white shark,Sep,N,M,white,43.0
