,year,type,country,age,species_,month,gender,dead
250,2012.0,Unprovoked,usa,21,5' shark,Sep,M,N
251,2012.0,Unprovoked,usa,22,4' shark,Sep,M,N
252,2012.0,Unprovoked,usa,8,3.5' to 4' shark,Sep,F,N
253,2012.0,Unprovoked,usa,56,3.5' to 4' shark,Sep,F,N
254,2012.0,Unprovoked,usa,56,"Lemon shark, 4' to 5' ",Aug,M,N
255,2012.0,Unprovoked,australia,48,White shark or bronze whaler,Jul,M,N
256,2012.0,Unprovoked,usa,50,Thought to involve a white shark,Jul,M,N
257,2012.0,Unprovoked,australia,24,"White shark, 5m",Jul,M,Y
258,2012.0,Boating,usa,52,14' to 18'shark,Jul,M,N
259,2012.0,Unprovoked,south africa,29,15' shark,Jul,M,N
260,2012.0,Unprovoked,usa,6,possibly a bull shark,Jun,M,N
261,2012.0,Unprovoked,usa,16,a small reef shark,Jun,F,N
262,2012.0,Unprovoked,australia,62,3 m shark,Jun,M,N
263,2012.0,Provoked,usa,23,Nurse shark,Jun,M,N
264,2012.0,Unprovoked,usa,18,small blacktip shark?,Jun,F,N
265,2012.0,Unprovoked,usa,16,Blacktip shark ,Jun,M,N
266,2012.0,Unprovoked,australia,42,1.5 m shark,Jun,M,N
267,2012.0,Provoked,italy,57,"Blue shark, 2.5m",Jun,M,
268,2012.0,Unprovoked,australia,30,"White shark, 2 m",Jun,M,N
269,2012.0,Unprovoked,usa,33,"18"" to 24"" shark",May,F,N
270,2012.0,Unprovoked,mexico,46,"Bull shark, 3m",May,M,N
271,2012.0,Unprovoked,usa,22,4' to 5' shark,May,M,N
272,2012.0,Boating,usa,30,White shark,May,M,N
273,2012.0,Unprovoked,usa,15,White shark,May,F,N
274,2012.0,Unprovoked,usa,28,5' shark,Apr,M,N
275,2012.0,Unprovoked,south africa,20,"White shark, 4 m to 5m ",Apr,M,Y
276,2012.0,Unprovoked,usa,28,"Tiger shark, 10'  ",Apr,M,N
277,2012.0,Unprovoked,australia,33,"White shark, 4m ",Mar,M,Y
278,2012.0,Unprovoked,australia,20,Possibly a bull shark,Mar,M,N
279,2012.0,Unprovoked,usa,61,Possibly a 5' to 6' bull shark,Mar,M,N
280,2012.0,Unprovoked,usa,15,4' to 5' shark,Mar,F,N
281,2012.0,Unprovoked,usa,17,4' to 5' shark,Mar,M,N
282,2012.0,Provoked,australia,34,"Tawny nurse shark, 40cm",Mar,F,N
283,2012.0,Unprovoked,usa,19,4' shark,Mar,M,N
284,2012.0,Unprovoked,australia,26,"Tiger shark, 3m",Jan,M,N
285,2012.0,Unprovoked,australia,44,"White shark, 2.7 m",Jan,M,N
286,2012.0,Unprovoked,south africa,25,Thought to involve a bull shark,Jan,M,Y
287,2012.0,Unprovoked,australia,28,2 m shark,Jan,M,N
288,2012.0,Unprovoked,australia,34,Allegedly a 4 m tiger shark,Jan,M,N
289,2011.0,Unprovoked,australia,51,"White shark, 2.5m",Dec,M,N
290,2011.0,Unprovoked,australia,10,Wobbegong shark?,Nov,M,N
291,2011.0,Unprovoked,australia,32,"White shark, 10'",Oct,M,Y
292,2011.0,Unprovoked,australia,50,"Port Jackson shark, 1m",Oct,M,N
293,2011.0,Invalid,usa,27,No shark involvement,Sep,M,
294,2011.0,Unprovoked,south africa,43,White shark,Sep,M,N
295,2011.0,Unprovoked,usa,21,"Bull shark, 6'",Sep,M,N
296,2011.0,Unprovoked,usa,25,4' to 6' shark,Sep,M,N
297,2011.0,Unprovoked,papua new guinea,30,"Tiger shark, 2m",Sep,M,N
298,2011.0,Unprovoked,australia,21,White shark,Sep,M,Y
